time,time_start,time_end,posterior,transition_type,value,optimal_split,X1,X1_squared,X2,X2_squared,X3,X3_squared
0,0.0,0.625,x=0.000: 0.200 | x=1.257: 0.200 | x=2.513: 0.200 | x=3.770: 0.200 | x=5.027: 0.200,no information,2.0097833655355184,1.000 -> [x=0.000: 0.200 | x=1.257: 0.200 | x=2.513: 0.200 | x=3.770: 0.200 | x=5.027: 0.200],8.326672684688674e-17,6.933347799794049e-33,0.0,0.0,-2.7755575615628914e-17,7.703719777548943e-34
1,0.625,1.25,x=0.000: 0.200 | x=1.257: 0.200 | x=2.513: 0.200 | x=3.770: 0.200 | x=5.027: 0.200,no information,2.0097833655355184,1.000 -> [x=0.000: 0.200 | x=1.257: 0.200 | x=2.513: 0.200 | x=3.770: 0.200 | x=5.027: 0.200],8.326672684688674e-17,6.933347799794049e-33,0.0,0.0,-2.7755575615628914e-17,7.703719777548943e-34
2,1.25,1.875,x=0.000: 0.200 | x=1.257: 0.200 | x=2.513: 0.200 | x=3.770: 0.200 | x=5.027: 0.200,no information,2.0097833655355184,1.000 -> [x=0.000: 0.200 | x=1.257: 0.200 | x=2.513: 0.200 | x=3.770: 0.200 | x=5.027: 0.200],8.326672684688674e-17,6.933347799794049e-33,0.0,0.0,-2.7755575615628914e-17,7.703719777548943e-34
3,1.875,2.5,x=0.000: 0.200 | x=1.257: 0.200 | x=2.513: 0.200 | x=3.770: 0.200 | x=5.027: 0.200,no information,2.0097833655355184,1.000 -> [x=0.000: 0.200 | x=1.257: 0.200 | x=2.513: 0.200 | x=3.770: 0.200 | x=5.027: 0.200],8.326672684688674e-17,6.933347799794049e-33,0.0,0.0,-2.7755575615628914e-17,7.703719777548943e-34
4,2.5,3.125,x=0.000: 0.200 | x=1.257: 0.200 | x=2.513: 0.200 | x=3.770: 0.200 | x=5.027: 0.200,no information,2.0097833655355184,1.000 -> [x=0.000: 0.200 | x=1.257: 0.200 | x=2.513: 0.200 | x=3.770: 0.200 | x=5.027: 0.200],8.326672684688674e-17,6.933347799794049e-33,0.0,0.0,-2.7755575615628914e-17,7.703719777548943e-34
5,3.125,3.75,x=0.000: 0.200 | x=1.257: 0.200 | x=2.513: 0.200 | x=3.770: 0.200 | x=5.027: 0.200,no information,2.0097833655355184,1.000 -> [x=0.000: 0.200 | x=1.257: 0.200 | x=2.513: 0.200 | x=3.770: 0.200 | x=5.027: 0.200],8.326672684688674e-17,6.933347799794049e-33,0.0,0.0,-2.7755575615628914e-17,7.703719777548943e-34
6,3.75,4.375,x=0.000: 0.200 | x=1.257: 0.200 | x=2.513: 0.200 | x=3.770: 0.200 | x=5.027: 0.200,no information,2.0097833655355184,1.000 -> [x=0.000: 0.200 | x=1.257: 0.200 | x=2.513: 0.200 | x=3.770: 0.200 | x=5.027: 0.200],8.326672684688674e-17,6.933347799794049e-33,0.0,0.0,-2.7755575615628914e-17,7.703719777548943e-34
7,4.375,5.0,x=0.000: 0.200 | x=1.257: 0.200 | x=2.513: 0.200 | x=3.770: 0.200 | x=5.027: 0.200,partial revelation,2.0097833655355184,0.500 -> [x=1.257: 0.200 | x=2.513: 0.400 | x=5.027: 0.400] ; 0.500 -> [x=0.000: 0.400 | x=1.257: 0.200 | x=3.770: 0.400],8.326672684688674e-17,6.933347799794049e-33,0.0,0.0,-2.7755575615628914e-17,7.703719777548943e-34
8,5.0,5.625,x=1.257: 0.200 | x=2.513: 0.400 | x=5.027: 0.400,partial revelation,1.2627323430943935,0.400 -> [x=2.513: 1.000] ; 0.200 -> [x=1.257: 0.200 | x=5.027: 0.800] ; 0.400 -> [x=1.257: 0.400 | x=5.027: 0.600],-0.7823372105976002,0.6120515110856338,0.5101834447767564,0.2602871473242776,-0.11204619495844376,0.012554349804665587
8,5.0,5.625,x=0.000: 0.400 | x=1.257: 0.200 | x=3.770: 0.400,partial revelation,2.5441288306703043,0.200 -> [x=1.257: 1.000] ; 0.400 -> [x=0.000: 0.400 | x=3.770: 0.600] ; 0.400 -> [x=0.000: 0.600 | x=3.770: 0.400],0.7823372105976003,0.612051511085634,-0.5101834447767564,0.2602871473242776,0.1120461949584437,0.012554349804665575
